Sno,Chapter_No,Question,Option A  ,Option B  ,Option C  ,Option D  ,Correct Option,Correct Answer
80,8,The subscript of a string may be:,Positive,Negative,Both (a) and (b),Either (a) or (b),C,Both (a) and (b)
81,9,Pick odd one in connection with collection data type,List,Tuple,Dictionary,Loop,D,Loop
82,9,"Let list1=[2,4,6,8,10], then print(List1[-2]) will result in",10,8,4,6,B,8
83,9,Which of the following function is used to count the number of elements in a list?,count(),find(),len(),index(),C,len()
84,9,"If List=[10,20,30,40,50] then List[2]=35 will result","[35,10,20,30,40,50]","[10,20,30,40,50,35]","[10,20,35,40,50]","[10,35,30,40,50]",C,"[10,20,35,40,50]"
85,9,"If List=[17,23,41,10] then List.append(32) will result","[32,17,23,41,10]","[17,23,41,10,32]","[10,17,23,32,41]","[41,32,23,17,10]",B,"[17,23,41,10,32]"
86,9,Which of the following Python function can be used to add more than one element within an existing list?,append(),append_more(),extend(),more(),C,extend()
87,9,What will be the result of the following Python code? S=[x**2 for x in range(5)]; print(S),"[0,1,2,4,5]","[0,1,4,9,16]","[0,1,4,9,16,25]","[1,4,9,16,25]",B,"[0,1,4,9,16]"
88,9,What is the use of type() function in python?,To create a Tuple,To know the type of an element in tuple.,To know the data type of python object.,To create a list.,C,To know the data type of python object.
89,9,Which of the following statement is not correct?,A list is mutable,A tuple is immutable.,The append() function is used to add an element.,The extend() function is used in tuple to add elements in a list.,D,The extend() function is used in tuple to add elements in a list.
90,9,"Let setA = {3,6,9}, setB = {1,3,9}. What will be the result of the following snippet? print(setA|setB)","{3,6,9,1,3,9}","{3,9}",{1},"{1,3,6,9}",D,"{1,3,6,9}"
91,9,Which of the following set operation includes all the elements that are in two sets but not the one that are common to two sets?,Symmetric difference,Difference,Intersection,Union,A,Symmetric difference
92,9,"The keys in Python, dictionary is specified by",=,;,+, :,D, :
93,10,Which of the following are the key features of an Object Oriented Programming language?,Constructor and Classes,Constructor and Object,Classes and Objects,Constructor and Destructor,C,Classes and Objects
94,10,Functions defined inside a class:,Functions,Module,Methods,section,C,Methods
95,10,Class members are accessed through which operator?,&,.,#,%,B,.
96,10,Which of the following method is automatically executed when an object is created?,__object__( ),__del__( ),__func__( ),__init__( ),D,__init__( )
97,10,A private class variable is prefixed with,__,&&,##,**,A,__
98,10,Which of the following method is used as destructor?,__init__( ),__dest__( ),__rem__( ),__del__( ),D,__del__( )
99,10,Which of the following class declaration is correct?,class class_name,class class_name<>,class class_name:,class class_name[ ],C,class class_name:
100,10,"Which of the following is the output of the following program? class Student: def __init__(self, name): self.name=name; print(self.name); S=Student(""Tamil"")",Error,Tamil,name,self,B,Tamil
101,10,Which of the following is the private class variable?,__num,##num,$$num,&&num,A,__num
102,10,The process of creating an object is called as:,Constructor,Destructor,Initialize,Instantiation,D,Instantiation
103,11,What is the acronym of DBMS?,DataBase Management Symbol,Database Managing System,DataBase Management System,DataBasic Management System,C,DataBase Management System
104,11,A table is known as,tuple,attribute,relation,entity,C,relation
105,11,Which database model represents parent-child relationship?,Relational,Network,Hierarchical,Object,C,Hierarchical
106,11,Relational database model was first proposed by,E F Codd,E E Codd,E F Cadd,E F Codder,A,E F Codd
107,11,What type of relationship does hierarchical model represents?,one-to-one,one-to-many,many-to-one,many-to-many,B,one-to-many
108,11,Who is called Father of Relational Database from the following?,Chris Date,Hugh Darween,Edgar Frank Codd,Edgar Frank Cadd,C,Edgar Frank Codd
109,11,Which of the following is an RDBMS?,Dbase,Foxpro,Microsoft Access,Microsoft Excel,C,Microsoft Access
110,11,What symbol is used for SELECT statement?,å,?,X,?,A,å
111,11,A tuple is also known as,table,row,attribute,field,B,row
112,11,Who developed ER model?,Chen,EF Codd,Chend,Chand,A,Chen
113,12,"Which commands provide definitions for creating table structure, deleting relations, and modifying relation schemas.",DDL,DML,DCL,DQL,A,DDL
114,12,Which command lets to change the structure of the table?,SELECT,ORDER BY,MODIFY,ALTER,D,ALTER
115,12,The command to delete a table including the structure is,DROP,DELETE,DELETE ALL,ALTER TABLE,A,DROP
116,12,Queries can be generated using,SELECT,ORDER BY,MODIFY,ALTER,A,SELECT
117,12,The clause used to sort data in a database,SORT BY,ORDER BY,GROUP BY,SELECT,B,ORDER BY
118,13,A CSV file is also known as a ?.,Flat File,3D File,String File,Random File,A,Flat File
119,13,The expansion of CRLF is,Control Return and Line Feed,Carriage Return and Form Feed,Control Router and Line Feed,Carriage Return and Line Feed,D,Carriage Return and Line Feed
120,13,Which of the following module is provided by Python to do several operations on the CSV files?,py,xls,csv,os,C,csv
121,13,Which of the following mode is used when dealing with non-text files like image or exe files?,Text mode,Binary mode,xls mode,csv mode,B,Binary mode
122,13,The command used to skip a row in a CSV file is,next(),skip(),omit(),bounce(),A,next()
123,13,Which of the following is a string used to terminate lines produced by writer()method of csv module?,Line Terminator,Enter key,Form feed,Data Terminator,A,Line Terminator
124,13,"What is the output of the following program? import csv; d=csv.reader(open('c:\PYPRG\ch13\city.csv')); next(d); for row in d: print(row), where city.csv contains chennai,mylapore and mumbai,andheri","chennai,mylapore","mumbai,andheri",chennai,"chennai,mylapore; mumbai,andheri",B,"mumbai,andheri"
125,13,Which of the following creates an object which maps data to a dictionary?,listreader(),reader(),tuplereader(),DictReader (),D,DictReader ()
126,13,Making some changes in the data of the existing file or adding more data is called,Editing,Appending,Modification,Alteration,C,Modification
127,13,What will be written inside the file test.csv using the given csv.writerows(D) program?,Exam Quarterly Halfyearly,Exam Quarterly Halfyearly,E; Q; H,"Exam, Quarterly, Halfyearly",D,"Exam, Quarterly, Halfyearly"
128,14,Which of the following is not a scripting language?,JavaScript,PHP,Perl,HTML,D,HTML
129,14,Importing C++ program in a Python program is called,wrapping,Downloading,Interconnecting,Parsing,A,wrapping
130,14,The expansion of API is,Application Programming Interpreter,Application Programming Interface,Application Performing Interface,Application Programming Interlink,B,Application Programming Interface
131,14,A framework for interfacing Python and C++ is,Ctypes,SWIG,Cython,Boost,B,SWIG
132,14,Which of the following is a software design technique to split your code into separate parts?,Object oriented Programming,Modular programming,Low Level Programming,Procedure oriented Programming,B,Modular programming
133,14,The module which allows you to interface with the Windows operating system is,OS module,sys module,csv module,getopt module,A,OS module
134,14,getopt() will return an empty array if there is no error in splitting strings to,argv variable,opt variable,args variable,ifile variable,B,opt variable
135,14,Identify the function call statement in the following snippet: if __name__ =='__main__': main(sys.argv[1:]),main(sys.argv[1:]),__name__,__main__,argv,A,main(sys.argv[1:])
136,14,"Which of the following can be used for processing text, numbers, images, and scientific data?",HTML,C,C++,PYTHON,D,PYTHON
137,14,What does __name__ contains?,c++ filename,main() name,python filename,os module name,C,python filename
138,15,Which of the following is an organized collection of data?,Database,DBMS,Information,Records,A,Database
139,15,SQLite falls under which database system?,Flat file database system,Relational Database system,Hierarchical database system,Object oriented Database system,B,Relational Database system
140,15,Which of the following is a control structure used to traverse and fetch the records of the database?,Pointer,Key,Cursor,Insertion point,C,Cursor
141,15,Any changes made in the values of the record should be saved by the command,Save,Save As,Commit,Oblige,C,Commit
142,15,Which of the following executes the SQL command to perform some action?,execute(),key(),cursor(),run(),A,execute()
143,15,Which of the following function retrieves the average of a selected column of rows in a table?,Add(),SUM(),AVG(),AVERAGE(),C,AVG()
144,15,The function that returns the largest value of the selected column is,MAX(),LARGE(),HIGH(),MAXIMUM(),A,MAX()
145,15,Which of the following is called the master table?,sqlite_master,sql_master,main_master,master_main,A,sqlite_master
146,15,The most commonly used statement in SQL is,cursor,select,execute,commit,B,select
147,15,Which of the following keyword avoid the duplicate?,Distinct,Remove,Where,GroupBy,A,Distinct
148,16,Which is a python package used for 2D charts?,matplotlib.pyplot,matplotlib.pip,matplotlib.numpy,matplotlib.plt,A,matplotlib.pyplot
149,16,"Identify the package manager for installing Python packages, or modules.",Matplotlib,PIP,plt.show(),python package,B,PIP
150,16,Which of the following feature is used to represent data and information graphically?,Data List,Data Tuple,Classes and Objects,Data Visualization,D,Data Visualization
151,16,.......... is a collection of resources assembled to create a single unified visual display.,Interface,Dashboard,Objects,Graphics,B,Dashboard
152,16,Which of the following module should be imported to visualize data and information in Python?,csv,getopt,mysql,matplotlib,D,matplotlib
153,16,............ is a type of chart which displays information as a series of data points connected by straight line segments.,csv,Pie chart,Bar chart,All the above,D,All the above
154,16,"Read the code import matplotlib.pyplot as plt; plt.plot(3,2); plt.show(). Identify the output for the above coding.",Option a chart shown in the textbook,Option b chart shown in the textbook,Option c chart shown in the textbook,Option d chart shown in the textbook,C,Option c chart shown in the textbook
155,16,Identify the right type of chart using the hints: often used to visualize a trend in data over intervals of time; line drawn chronologically.,Line chart,Bar chart,Pie chart,Scatter plot,A,Line chart
156,16,"For pie chart: Statement A: To make a pie chart with Matplotlib, we can use plt.pie(). Statement B: The autopct parameter allows us to display the percentage value using Python string formatting.",Statement A is correct,Statement B is correct,Both the statements are correct,Both the statements are wrong,C,Both the statements are correct
